Name,ASCII Name,Population,Coordinates
Bad Häring,Bad Haering,2777,"47.51071, 12.11912"
Hannersdorf,Hannersdorf,407,"47.22895, 16.3825"
Gunskirchen,Gunskirchen,3778,"48.13333, 13.95"
Groß-Gerungs,Gross-Gerungs,1121,"48.57422, 14.95789"
Grafenwörth,Grafenwoerth,1312,"48.4079, 15.77826"
Grafendorf bei Hartberg,Grafendorf bei Hartberg,1047,"47.34028, 15.9906"
Gössenberg,Goessenberg,0,"47.41667, 13.81667"
Gaspoltshofen,Gaspoltshofen,1313,"48.14324, 13.73643"
Ferlach,Ferlach,4342,"46.52694, 14.30194"
Fehring,Fehring,1675,"46.94, 16.00806"
Euratsfeld,Euratsfeld,2639,"48.08181, 14.93154"
Ebreichsdorf,Ebreichsdorf,5236,"47.95579, 16.40705"
Desselbrunn,Desselbrunn,384,"48.02145, 13.77027"
Breitenau,Breitenau,1576,"47.73355, 16.14338"
Bischofshofen,Bischofshofen,7457,"47.41667, 13.21667"
Arzberg,Arzberg,503,"47.25, 15.51667"
Aibl,Aibl,466,"46.68145, 15.22619"
Finkenstein am Faaker See,Finkenstein am Faaker See,8406,"46.56081, 13.87115"
Berg,Berg,1491,"48.29278, 14.24778"
Klaffenegg,Klaffenegg,0,"47.51813, 15.76006"
Rohrendorf bei Krems,Rohrendorf bei Krems,2091,"48.41935, 15.65772"
Neubau,Neubau,1182,"48.21901, 14.19301"
Versoix,Versoix,11467,"46.28382, 6.16214"
Vals Platz,Vals Platz,1006,"46.61647, 9.18025"
Therwil,Therwil,9595,"47.49941, 7.55669"
Strengelbach,Strengelbach,4349,"47.27917, 7.92895"
Siebnen,Siebnen,7104,"47.17449, 8.89781"
Schafisheim,Schafisheim,2758,"47.37664, 8.14263"
Schaffhausen,Schaffhausen,33863,"47.69732, 8.63493"
Saint-Léonard,Saint-Leonard,1937,"46.25152, 7.41714"
Safenwil,Safenwil,3201,"47.32163, 7.98254"
Pontresina,Pontresina,1863,"46.4955, 9.90126"
Pailly,Pailly,430,"46.70123, 6.6754"
Orvin,Orvin,1181,"47.16068, 7.21368"
Obergösgen,Obergosgen,2076,"47.36538, 7.95173"
Nänikon,Nanikon,1560,"47.36975, 8.68894"
Muri,Muri,6463,"47.27428, 8.33854"
Monthey,Monthey,15106,"46.25451, 6.95406"
Lütisburg,Lutisburg,1476,"47.39451, 9.08312"
Losone,Losone,6070,"46.16866, 8.75928"
Lichtensteig,Lichtensteig,1945,"47.32381, 9.08758"
Lausen,Lausen,4892,"47.47139, 7.7603"
La Roche,La Roche,1405,"46.6962, 7.13721"
Kirchberg,Kirchberg,5335,"47.08538, 7.58288"
Haslen,Haslen,638,"47.36931, 9.36752"
Grossaffoltern,Grossaffoltern,2810,"47.06534, 7.35689"
Glarus,Glarus,5681,"47.04057, 9.06804"
Gimel,Gimel,1454,"46.50945, 6.30736"
Flawil,Flawil,9739,"47.41301, 9.18324"
Faido,Faido,1512,"46.477, 8.80125"
Estavayer-le-Lac,Estavayer-le-Lac,5061,"46.84876, 6.8465"
Erlenbach,Erlenbach,4519,"47.30298, 8.59743"
Eiken,Eiken,1923,"47.53361, 7.98801"
Degersheim,Degersheim,3802,"47.37429, 9.20019"
Château-d'Oex,Chateau-d'Oex,3034,"46.47455, 7.13155"
Bulle,Bulle,23438,"46.61797, 7.0569"
Birr,Birr,3884,"47.43432, 8.20891"
Attalens,Attalens,2380,"46.50555, 6.85039"
Apples,Apples,1201,"46.55237, 6.42889"
Adligenswil,Adligenswil,5576,"47.06521, 8.36124"
Bülach / Soligänter,Buelach / Soligaenter,1434,"47.52632, 8.54106"
Rüti / Oberdorf,Rueti / Oberdorf,2875,"47.25894, 8.86512"
Thalwil / Dorfkern,Thalwil / Dorfkern,6829,"47.29047, 8.56633"
Küsnacht / Goldbach,Kuesnacht / Goldbach,2607,"47.32729, 8.58077"
Töss (Kreis 4) / Vorder-Dättnau,Toess (Kreis 4) / Vorder-Daettnau,1476,"47.48135, 8.69855"
Dietikon / Hofacker,Dietikon / Hofacker,2826,"47.39718, 8.41609"
Oberengstringen / Rauchacher,Oberengstringen / Rauchacher,1126,"47.40919, 8.45627"
Stadt Winterthur (Kreis 1),Stadt Winterthur (Kreis 1),16182,"47.49494, 8.71954"
Thalwil / See,Thalwil / See,1893,"47.29409, 8.56929"
Aire-la-Ville,Aire-la-Ville,1100,"46.19057, 6.04287"
Cuarnens,Cuarnens,0,"46.62545, 6.43713"
Matran,Matran,0,"46.78593, 7.09768"
Brändö,Braendoe,515,"60.41165, 21.04534"
Široki Brijeg,Siroki Brijeg,9370,"43.3829, 17.59416"
Kopači,Kopaci,0,"43.67833, 19.02845"
Ključ,Kljuc,7245,"44.53251, 16.77682"
Hreša,Hresa,0,"43.878, 18.49699"
Bosanska Krupa,Bosanska Krupa,15193,"44.8825, 16.15139"
Hotonj,Hotonj,4013,"43.89341, 18.37751"
Wortel,Wortel,1832,"51.39827, 4.7946"
Westrozebeke,Westrozebeke,2264,"50.93178, 3.01001"
Weerde,Weerde,2857,"50.97345, 4.47487"
Wavreille,Wavreille,1026,"50.12119, 5.24831"
Vollezele,Vollezele,1961,"50.76121, 4.02435"
Viesville,Viesville,2307,"50.49088, 4.40852"
Uikhoven,Uikhoven,1197,"50.92386, 5.71921"
Thiaumont,Thiaumont,1093,"49.71523, 5.73056"
Tervuren,Tervuren,20623,"50.82372, 4.51418"
Staden,Staden,10786,"50.97456, 3.01469"
Sint-Jan,Sint-Jan,1016,"50.86503, 2.90478"
Sart-Dames-Avelines,Sart-Dames-Avelines,3015,"50.56863, 4.49221"
Saint-Vaast,Saint-Vaast,6351,"50.45426, 4.16041"
Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,27366,"50.8538, 4.37282"
Saint-Hubert,Saint-Hubert,5538,"50.02668, 5.37401"
Roclenge-sur-Geer,Roclenge-sur-Geer,1203,"50.75688, 5.59444"
Rendeux,Rendeux,2320,"50.23423, 5.50414"
Racour,Racour,1153,"50.73924, 5.02806"
Quaregnon,Quaregnon,18491,"50.44067, 3.8653"
Poppel,Poppel,4024,"51.44565, 5.0433"
Oud-Heverlee,Oud-Heverlee,10533,"50.83522, 4.66421"
Ophain-Bois-Seigneur-Isaac,Ophain-Bois-Seigneur-Isaac,4255,"50.66646, 4.34865"
Neerpelt,Neerpelt,16122,"51.22807, 5.4427"
Montegnée,Montegnee,11417,"50.64576, 5.51411"
Moerbeke,Moerbeke,2840,"50.75254, 3.91724"
Meldert,Meldert,2557,"51.00007, 5.14215"
Marke,Marke,7575,"50.80678, 3.23344"
Marche-les-Dames,Marche-les-Dames,1004,"50.48585, 4.95967"
Loupoigne,Loupoigne,1703,"50.59806, 4.44448"
Loppem,Loppem,4913,"51.15662, 3.19599"
Leopoldsburg,Leopoldsburg,14149,"51.11667, 5.25"
Leerbeek,Leerbeek,1214,"50.77788, 4.11936"
Lauw,Lauw,1031,"50.73881, 5.41333"
Kozen,Kozen,1633,"50.8752, 5.24005"
Knokke-Heist,Knokke-Heist,33781,"51.35, 3.26667"
Kessel,Kessel,7591,"51.13892, 4.62962"
Kemmel,Kemmel,1157,"50.78333, 2.82714"
Jurbise,Jurbise,9483,"50.531, 3.90942"
Jeuk,Jeuk,1543,"50.73499, 5.20992"
Jabbeke,Jabbeke,13488,"51.18185, 3.08935"
Impe,Impe,1634,"50.96048, 3.9501"
Vilémov,Vilemov,1008,"50.99054, 14.33531"
Veverská Bítýška,Veverska Bityska,2842,"49.27591, 16.43686"
Velké Pavlovice,Velke Pavlovice,3078,"48.90469, 16.81605"
Tovačov,Tovacov,2605,"49.43083, 17.28795"
Tišnov,Tisnov,8227,"49.34872, 16.42438"
Štěchovice,Stechovice,1377,"49.85109, 14.40543"
Staré Město,Stare Mesto,6742,"49.07515, 17.43338"
Staré Křečany,Stare Krecany,1244,"50.95044, 14.49617"
Slavkov,Slavkov,1686,"49.9218, 17.83641"
Sedlnice,Sedlnice,1327,"49.6577, 18.0869"
Řečany nad Labem,Recany nad Labem,1364,"50.03589, 15.47735"
Prostějov,Prostejov,47374,"49.47188, 17.11184"
Plaňany,Planany,1467,"50.0501, 15.02944"
Planá nad Lužnicí,Plana nad Luznici,3128,"49.35444, 14.70147"
Paskov,Paskov,3754,"49.73179, 18.29037"
Osoblaha,Osoblaha,1136,"50.27517, 17.71523"
Okrouhlice,Okrouhlice,1210,"49.62991, 15.49083"
Mellerud,Mellerud,3797,"58.69979, 12.45312"
Märsta,Maersta,27034,"59.62157, 17.85476"
Lövstalöt,Loevstaloet,1399,"59.9574, 17.57826"
Lomma,Lomma,12368,"55.67244, 13.06849"
Lidingö,Lidingoe,42466,"59.36667, 18.13333"
Krokek,Krokek,5053,"58.67231, 16.36741"
Kopparmora,Kopparmora,2280,"59.33306, 18.58306"
Katrineholm,Katrineholm,23283,"58.99587, 16.20721"
Kallinge,Kallinge,4664,"56.24841, 15.28721"
Jursla,Jursla,1647,"58.66667, 16.18333"
Fritsla,Fritsla,2307,"57.55655, 12.78457"
Fränsta,Fraensta,2062,"62.49855, 16.17016"
Falköping,Falkoeping,17170,"58.17347, 13.55068"
Eksjö,Eksjoe,10157,"57.66643, 14.97205"
Ekshärad,Ekshaerad,1020,"60.17275, 13.49647"
Ekängen,Ekaengen,2485,"58.46667, 15.63333"
Edsbyn,Edsbyn,4179,"61.37692, 15.81747"
Brevik,Brevik,8024,"59.35, 18.2"
Åseda,Aseda,2557,"57.1701, 15.3443"
Årsunda,Arsunda,1012,"60.51644, 16.73436"
Ankarsrum,Ankarsrum,1234,"57.69896, 16.33407"
Zgornja Kungota,Zgornja Kungota,535,"46.63917, 15.61556"
Železniki,Zelezniki,3075,"46.22482, 14.17205"
Velike Lašče,Velike Lasce,729,"45.83222, 14.63639"
Turnišče,Turnisce,1509,"46.62778, 16.32028"
Trzin,Trzin,3925,"46.13333, 14.56667"
Slovenske Konjice,Slovenske Konjice,4869,"46.33667, 15.42583"
Senovo,Senovo,2343,"46.02361, 15.47694"
Rakičan,Rakican,1560,"46.65167, 16.20417"
Rače,Race,2693,"46.45194, 15.68139"
Podlehnik,Podlehnik,378,"46.33528, 15.88"
Mlaka pri Kranju,Mlaka pri Kranju,1566,"46.28333, 14.35"
Markovci,Markovci,495,"46.39557, 15.92831"
Kranj,Kranj,37941,"46.23887, 14.35561"
Ivančna Gorica,Ivancna Gorica,2205,"45.93833, 14.80444"
Dravograd,Dravograd,3289,"46.58806, 15.01917"
Bistrica ob Sotli,Bistrica ob Sotli,235,"46.05889, 15.66417"
Selnica ob Dravi,Selnica ob Dravi,1348,"46.55, 15.495"
Spišská Belá,Spisska Bela,6680,"49.18725, 20.45948"
Rožňava,Roznava,19261,"48.66009, 20.53758"
Lipany,Lipany,6521,"49.15376, 20.96382"
Košice,Kosice,228249,"48.71395, 21.25808"
Skalité,Skalite,5247,"49.49664, 18.89706"
Nováky,Novaky,4402,"48.71106, 18.53389"
Martin,Martin,54618,"49.06651, 18.92399"
Krásno nad Kysucou,Krasno nad Kysucou,6676,"49.39572, 18.83431"
Borgo Maggiore,Borgo Maggiore,6424,"43.94193, 12.44738"
Kabbasin,Kabbasin,51230,"36.43274, 37.56857"
Yunak,Yunak,14050,"38.81418, 31.73223"
Yenipazar,Yenipazar,0,"39.46361, 35.08306"
Yedisu,Yedisu,1771,"39.43277, 40.53368"
Yazıhan,Yazihan,5156,"38.59292, 38.17327"
Yayladere,Yayladere,3925,"39.22614, 40.0695"
Yayladağı,Yayladagi,8308,"35.9025, 36.06272"
Yağcılar,Yagcilar,0,"39.41712, 28.38109"
Umurlu,Umurlu,0,"37.85003, 27.96275"
Tepehan,Tepehan,0,"38.11788, 38.72622"
Susurluk,Susurluk,24816,"39.91361, 28.15778"
Söğüt,Sogut,0,"40.0143, 30.18486"
Sincik,Sincik,7152,"38.03645, 38.61257"
Savaştepe,Savastepe,10324,"39.38319, 27.65612"
Sason,Sason,11403,"38.32767, 41.41377"
Samandağ,Samandag,0,"36.08012, 35.97603"
Otlukbeli,Otlukbeli,3669,"39.97, 40.01872"
Örencik,Orencik,0,"39.2625, 29.54389"
Ömerli,Omerli,7194,"37.39903, 40.95442"
Mezitli,Mezitli,0,"36.74541, 34.52256"
Kuyucak,Kuyucak,7017,"37.9133, 28.45917"
Kızıltepe,Kiziltepe,150174,"37.18836, 40.57723"
Kazanlı,Kazanli,0,"36.81565, 34.75761"
Kayapınar,Kayapinar,0,"37.93733, 40.17756"
Karataş,Karatas,9221,"36.58204, 35.37014"
İçme,Icme,0,"38.61257, 39.5513"
Düziçi,Duzici,0,"37.24216, 36.45484"
Han,Han,0,"39.15917, 30.86139"
Hani,Hani,11055,"38.40741, 40.38578"
Gaziantep,Gaziantep,1808948,"37.05944, 37.3825"
Felahiye,Felahiye,5716,"39.09056, 35.56722"
Esendere,Esendere,0,"37.71144, 44.60099"
Ergani,Ergani,52684,"38.26899, 39.75446"
Emirgazi,Emirgazi,8466,"37.90222, 33.83722"
Demiryol,Demiryol,1388,"37.91751, 41.14984"
Akziyaret,Akziyaret,0,"37.35328, 38.79609"
Çay,Cay,34215,"38.59167, 31.02861"
Çatakköprü,Catakkopru,0,"38.15162, 41.20256"
Nikfer,Nikfer,5474,"37.40542, 29.13727"
Buca,Buca,0,"38.3983, 27.16662"
Bölükyazı,Bolukyazi,0,"38.32748, 42.17448"
Bodrum,Bodrum,39317,"37.03833, 27.42917"
Babatorun,Babatorun,0,"36.07743, 36.29051"
Altınyayla,Altinyayla,5674,"39.27249, 36.75098"
Akçapınar,Akcapinar,0,"38.94728, 38.9423"
Ahmetli,Ahmetli,11377,"38.5196, 27.93865"
Yeşildere,Yesildere,2701,"36.973, 37.49488"
Kuzeytepe,Kuzeytepe,4889,"36.26505, 36.1535"
Uzunbağ,Uzunbag,2984,"36.14023, 36.03603"
Batikent,Batikent,300000,"39.96833, 32.73083"
Zile,Zile,55680,"40.30306, 35.88639"
Yavuzkemal,Yavuzkemal,0,"40.69329, 38.33723"
Turhal,Turhal,110884,"40.3875, 36.08111"
Pendik,Pendik,0,"40.8775, 29.2725"
Peçenek,Pecenek,0,"40.41857, 32.30833"
Osmancık,Osmancik,36443,"40.97818, 34.8047"
Mudanya,Mudanya,23161,"40.37528, 28.88222"
Marmara Ereğlisi,Marmara Ereglisi,10956,"40.96907, 27.95503"
Koyulhisar,Koyulhisar,5495,"40.30184, 37.82336"
Kızılcahamam,Kizilcahamam,17975,"40.46972, 32.65056"
Kars,Kars,91450,"40.59825, 43.08548"
Kabataş,Kabatas,9066,"40.75, 37.45"
Hasköy,Haskoy,0,"41.64134, 26.85882"
Gölyaka,Golyaka,0,"40.7769, 30.99587"
Kömürlü,Komurlu,0,"40.73539, 42.28819"
Gölköy,Golkoy,0,"40.68689, 37.61544"
Evren,Evren,4631,"40.24527, 39.17535"
Çandır,Candir,0,"40.25717, 33.46868"
Çamlıkaya,Camlikaya,0,"40.6391, 41.15218"
Eminbey,Eminbey,0,"41.54755, 42.78199"
Biga,Biga,30852,"40.22806, 27.24222"
Beyçayırı,Beycayiri,0,"40.25515, 26.92442"
Aydıntepe,Aydintepe,7961,"40.38325, 40.14272"
Halıdere,Halidere,3073,"40.71604, 29.75223"
Ataşehir,Atasehir,361615,"40.9833, 29.1167"
Sultangazi,Sultangazi,436935,"41.10652, 28.86847"
Ovacık,Ovacik,0,"36.17027, 33.5567"
Zhdeniyevo,Zhdeniyevo,1102,"48.7734, 22.97228"
Zinkiv,Zinkiv,9514,"50.20987, 34.35952"
Zavetnoye,Zavetnoye,1628,"45.32697, 34.80837"
Zamostia,Zamostia,2106,"48.35372, 25.42106"
Yaroslavka,Yaroslavka,1376,"46.07618, 29.87163"
Vynohradiv,Vynohradiv,25317,"48.14126, 23.03623"
Vlasivka,Vlasivka,7587,"49.11832, 33.27971"
Vyzyrka,Vyzyrka,1175,"46.68655, 30.9991"
Vinogradnoye,Vinogradnoye,1044,"45.29332, 35.84451"
Vilino,Vilino,6960,"44.8456, 33.67161"
Velyki Korovyntsi,Velyki Korovyntsi,2152,"49.98197, 28.29531"
Velykyy Bereznyy,Velykyy Bereznyy,7713,"48.8934, 22.46121"
Vasylivka,Vasylivka,3902,"45.64334, 28.83298"
Varva,Varva,7689,"50.49503, 32.71968"
Uzhhorod,Uzhhorod,115449,"48.6242, 22.2947"
Tysmenytsia,Tysmenytsia,9287,"48.9036, 24.84695"
Tukhlia,Tukhlia,1826,"48.91634, 23.47386"
Stebliv,Stebliv,3350,"49.40163, 31.09557"
Stavchany,Stavchany,2168,"48.51011, 25.68101"
Shebutyntsi,Shebutyntsi,1463,"48.51945, 27.17144"
Seredyna-Buda,Seredyna-Buda,7161,"52.18886, 34.03613"
Sencha,Sencha,2953,"50.25482, 33.34602"
Rozvadiv,Rozvadiv,3098,"49.50305, 23.95819"
Prudianka,Prudianka,1924,"50.23606, 36.16835"
Prybuzhany,Prybuzhany,2013,"47.53085, 31.32975"
Pnikut,Pnikut,1101,"49.71006, 23.1329"
Pavlivka,Pavlivka,1135,"49.60978, 38.70107"
Ovidiopol,Ovidiopol,11572,"46.24721, 30.43746"
Orlinoye,Orlinoye,2106,"44.44685, 33.77588"
Ordzhonikidze,Ordzhonikidze,2572,"44.96401, 35.35576"
Obertyn,Obertyn,2957,"48.69954, 25.16901"
Novy Svet,Novy Svet,1248,"44.83087, 34.9137"
Novhorodka,Novhorodka,5675,"48.36089, 32.65469"
Navariia,Navariia,1493,"49.74952, 23.92746"
Molochnoye,Molochnoye,2174,"45.1996, 33.22233"
Mykhaylo-Laryne,Mykhaylo-Laryne,1918,"47.10757, 32.20426"
Medvedevo,Medvedevo,1707,"45.38597, 33.004"
Medvedevka,Medvedevka,1270,"45.88389, 34.55562"
Maryanivka,Maryanivka,1301,"47.44371, 30.15011"
Krinichnoye,Krinichnoye,898,"45.02428, 34.61202"
Lypovets,Lypovets,8303,"49.22776, 29.05669"
Lykhivka,Lykhivka,1960,"48.67739, 33.93197"
Lanivtsi,Lanivtsi,8434,"49.86103, 26.09052"
Kvasy,Kvasy,1200,"48.15747, 24.28115"
Kryva Balka,Kryva Balka,1574,"46.19085, 29.89426"
Krasyliv,Krasyliv,18868,"49.65376, 26.97211"
